2017 rank,City,State,2017 estimate,2010 Census,Change,2016 land area Sq Mi,2016 land area Sq Km,2016 population density/sq Mi,2016 population/sq Km,Location,Wikipedia Link,City Website
11,Austin,Texas,"950,715","790,390",+20.28%,3127,80992,3031,11702,30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin),"https://en.wikipedia.org/wiki/Austin,_Texas",http://www.austintexas.gov
12,Jacksonville,Florida,"892,062","821,784",+8.55%,7474,193582,1178,4552,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville),"https://en.wikipedia.org/wiki/Jacksonville,_Florida",http://www.coj.net
13,San Francisco,California,"884,363","805,235",+9.83%,469,12152,18569,71702,37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco),https://en.wikipedia.org/wiki/San_Francisco,http://sf.gov/
14,Columbus,Ohio,"879,170","787,033",+11.71%,2185,56592,3936,15202,39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus),"https://en.wikipedia.org/wiki/Columbus,_Ohio",http://www.columbus.gov/
15,Fort Worth,Texas,"874,168","741,206",+17.94%,3429,88812,2491,9622,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth),"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",http://www.fortworthtexas.gov/
16,Indianapolis,Indiana,"863,002","820,445",+5.19%,3615,93632,2366,9142,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis),https://en.wikipedia.org/wiki/Indianapolis,http://www.indy.gov
17,Charlotte,North Carolina,"859,035","731,424",+17.45%,3054,79102,2757,10642,35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte),"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",http://charlottenc.gov
18,Seattle,Washington,"724,745","608,660",+19.07%,838,21702,8405,32452,47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle),https://en.wikipedia.org/wiki/Seattle,http://www.seattle.gov/
19,Denver,Colorado,"704,621","600,158",+17.41%,1533,39702,4521,17462,39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver),https://en.wikipedia.org/wiki/Denver,http://www.denvergov.org/
20,"Washington, D.C.",District of Columbia,"693,972","601,723",+15.33%,611,15822,11148,43042,"38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)","https://en.wikipedia.org/wiki/Washington,_D.C.",http://dc.gov/
